FIPS,State,Area_Name,POP_2016
0,US,United States,322941311
1000,AL,Alabama,4863525
1001,AL,Autauga County,55243
1003,AL,Baldwin County,207601
1005,AL,Barbour County,25806
1007,AL,Bibb County,22586
1009,AL,Blount County,57494
1011,AL,Bullock County,10389
1013,AL,Butler County,20012
1015,AL,Calhoun County,114973
1017,AL,Chambers County,33745
1019,AL,Cherokee County,25768
1021,AL,Chilton County,43866
1023,AL,Choctaw County,13045
1025,AL,Clarke County,24340
1027,AL,Clay County,13393
1029,AL,Cleburne County,14848
1031,AL,Coffee County,51202
1033,AL,Colbert County,54497
1035,AL,Conecuh County,12500
1037,AL,Coosa County,10819
1039,AL,Covington County,37382
1041,AL,Crenshaw County,13916
1043,AL,Cullman County,82450
1045,AL,Dale County,49362
1047,AL,Dallas County,40080
1049,AL,DeKalb County,71104
1051,AL,Elmore County,81204
1053,AL,Escambia County,37475
1055,AL,Etowah County,102855
1057,AL,Fayette County,16563
1059,AL,Franklin County,31611
1061,AL,Geneva County,26494
1063,AL,Greene County,8482
1065,AL,Hale County,14828
1067,AL,Henry County,17072
1069,AL,Houston County,104218
1071,AL,Jackson County,51988
1073,AL,Jefferson County,660343
1075,AL,Lamar County,13928
1077,AL,Lauderdale County,92425
1079,AL,Lawrence County,33227
1081,AL,Lee County,159168
1083,AL,Limestone County,92847
1085,AL,Lowndes County,10248
1087,AL,Macon County,19060
1089,AL,Madison County,356729
1091,AL,Marengo County,19525
1093,AL,Marion County,29960
1095,AL,Marshall County,95113
1097,AL,Mobile County,414945
1099,AL,Monroe County,21548
1101,AL,Montgomery County,227170
1103,AL,Morgan County,119006
1105,AL,Perry County,9532
1107,AL,Pickens County,20325
1109,AL,Pike County,33464
1111,AL,Randolph County,22504
1113,AL,Russell County,58185
1115,AL,St. Clair County,87306
1117,AL,Shelby County,211282
1119,AL,Sumter County,12967
1121,AL,Talladega County,80552
1123,AL,Tallapoosa County,40586
1125,AL,Tuscaloosa County,206464
1127,AL,Walker County,64533
1129,AL,Washington County,16621
1131,AL,Wilcox County,10844
1133,AL,Winston County,23907
2000,AK,Alaska,741456
2013,AK,Aleutians East Borough,3363
2016,AK,Aleutians West Census Area,5705
2020,AK,Anchorage Municipality,297249
2050,AK,Bethel Census Area,18022
2060,AK,Bristol Bay Borough,902
2068,AK,Denali Borough,2055
