FIPS,State,County,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,total_crime
,AL,,,,,,,,,,,,
4003,AZ,Cochise,47,0,1,3,43,531,195,273,63,5,1161
4005,AZ,Coconino,127,6,17,1,103,264,59,180,25,6,788
4015,AZ,Mohave,135,3,6,19,107,"1,983",573,"1,197",213,13,4249
4021,AZ,Pinal,197,3,5,18,171,"1,469",321,987,161,,3332
4025,AZ,Yavapai,193,5,0,4,184,860,155,608,97,10,2116
4027,AZ,Yuma,136,7,17,6,106,807,223,502,82,7,1893
4007,AZ,Gila,176,1,3,5,167,384,65,252,67,,1120
4009,AZ,Graham,61,4,0,0,57,104,20,76,8,12,342
4012,AZ,La Paz,40,1,2,3,34,310,87,181,42,1,701
4017,AZ,Navajo,43,1,0,5,37,341,192,115,34,5,773
4023,AZ,Santa Cruz,1,0,0,0,1,117,35,66,16,0,236
5007,AR,Benton,159,3,32,3,121,,,188,61,1,568
5025,AR,Cleveland,20,0,4,0,16,162,90,56,16,2,366
5031,AR,Craighead,48,2,16,1,29,315,108,168,39,3,729
5033,AR,Crawford,55,1,1,1,52,254,37,188,29,0,618
5035,AR,Crittenden,123,3,9,8,103,286,83,182,21,1,819
5045,AR,Faulkner,116,1,18,5,92,749,176,476,97,6,1736
5051,AR,Garland,279,0,25,8,246,,,675,145,0,1378
5053,AR,Grant,28,0,3,1,24,167,53,86,28,1,391
5069,AR,Jefferson,78,4,12,2,60,414,110,247,57,7,991
5079,AR,Lincoln,14,0,7,0,7,40,15,20,5,0,108
5081,AR,Little River,10,0,1,1,8,93,27,58,8,1,207
5085,AR,Lonoke,75,1,8,0,66,374,68,220,86,4,902
5087,AR,Madison,44,1,5,1,37,169,48,99,22,3,429
5091,AR,Miller,57,0,8,1,48,199,68,113,18,0,512
5105,AR,Perry,29,0,7,0,22,95,23,72,0,0,248
5111,AR,Poinsett,42,0,4,0,38,138,60,50,28,0,360
5119,AR,Pulaski,428,4,31,27,366,"1,638",353,"1,123",162,9,4141
5125,AR,Saline,187,7,31,2,147,,,376,81,2,833
5131,AR,Sebastian,45,0,6,0,39,223,83,127,13,1,537
5143,AR,Washington,177,5,6,1,165,572,139,346,87,8,1506
5001,AR,Arkansas,15,0,1,1,13,58,14,42,2,1,147
5003,AR,Ashley,22,0,1,2,19,153,38,98,17,3,353
5005,AR,Baxter,70,1,15,1,53,616,81,472,63,5,1377
5009,AR,Boone,199,0,30,1,168,269,79,150,40,1,937
5011,AR,Bradley,8,0,0,0,8,51,31,12,8,0,118
5013,AR,Calhoun,11,0,0,0,11,68,22,34,12,0,158
5015,AR,Carroll,45,0,5,1,39,209,52,111,46,1,509
5017,AR,Chicot,13,0,2,0,11,76,18,58,0,0,178
5019,AR,Clark,11,0,0,0,11,70,19,42,9,0,162
5023,AR,Cleburne,142,0,21,4,117,297,86,185,26,6,884
5027,AR,Columbia,23,1,2,0,20,67,21,37,9,0,180
5029,AR,Conway,46,2,13,1,30,234,43,164,27,9,569
5043,AR,Drew,16,0,4,0,12,66,23,37,6,0,164
5049,AR,Fulton,29,0,3,0,26,51,0,45,6,0,160
5057,AR,Hempstead,29,0,6,1,22,143,41,75,27,1,345
5061,AR,Howard,20,0,4,0,16,57,29,25,3,0,154
5063,AR,Independence,153,1,44,2,106,367,110,209,48,14,1054
5065,AR,Izard,33,0,8,0,25,197,55,130,12,5,465
5067,AR,Jackson,45,1,6,1,37,119,10,80,29,5,333
5071,AR,Johnson,40,0,7,0,33,114,47,51,16,2,310
5077,AR,Lee,13,1,4,0,8,101,26,64,11,1,229
5083,AR,Logan,36,0,10,0,26,162,35,117,10,6,402
5089,AR,Marion,32,0,9,0,23,243,80,150,13,0,550
5093,AR,Mississippi,23,0,3,2,18,247,81,133,33,3,543
5095,AR,Monroe,1,0,1,0,0,32,3,14,15,1,67
5109,AR,Pike,10,0,3,0,7,73,22,49,2,1,167
5115,AR,Pope,91,2,15,1,73,309,102,163,44,4,804
5117,AR,Prairie,3,0,1,1,1,67,24,39,4,0,140
5121,AR,Randolph,40,1,16,0,23,112,24,75,13,2,306
5127,AR,Scott,22,0,2,1,19,65,28,29,8,0,174
5133,AR,Sevier,26,0,6,0,20,88,21,53,14,2,230
5123,AR,St. Francis,40,0,7,6,27,286,80,206,0,2,654
5139,AR,Union,60,3,2,3,52,273,76,174,23,2,668
5141,AR,Van Buren,44,2,5,0,37,141,24,82,35,11,381
5145,AR,White,200,0,61,8,131,598,154,354,90,6,1602
5147,AR,Woodruff,6,0,0,0,6,62,18,41,3,0,136
5149,AR,Yell,30,0,5,0,25,177,66,90,21,1,415
6001,CA,Alameda,633,5,27,210,391,"2,169",354,"1,324",491,21,5625
6007,CA,Butte,283,5,32,28,218,"1,290",524,724,42,3,3149
6013,CA,Contra Costa,332,8,28,89,207,"1,499",411,"1,053",35,11,3673
6017,CA,El Dorado,173,3,47,29,94,"1,695",482,"1,186",27,4,3740
6019,CA,Fresno,"1,082",14,38,102,928,"3,281","1,378","1,304",599,129,8855
6025,CA,Imperial,211,2,11,7,191,588,178,324,86,22,1620
6029,CA,Kern,"2,864",29,244,433,"2,158","9,449","2,756","4,680","2,013",275,24901
6031,CA,Kings,125,2,19,19,85,432,114,297,21,1,1115
6037,CA,Los Angeles,"5,564",68,300,"1,443","3,753","15,040","2,798","8,595","3,647",220,41428
6039,CA,Madera,457,1,34,14,408,"1,017",375,621,21,7,2955
6041,CA,Marin,63,1,5,12,45,738,143,591,4,1,1603
6047,CA,Merced,500,4,19,24,453,"1,515",487,956,72,8,4038
6053,CA,Monterey,258,3,25,36,194,"1,125",361,733,31,7,2773
6055,CA,Napa,69,0,11,7,51,269,55,212,2,0,676
6059,CA,Orange,247,2,11,21,213,881,142,642,97,4,2260
6061,CA,Placer,183,3,28,13,139,"1,077",278,769,30,9,2529
6065,CA,Riverside,932,24,37,179,692,"7,220","1,454","4,320","1,446",24,16328
6067,CA,Sacramento,"2,408",36,161,685,"1,526","8,067","2,276","5,634",157,67,21017
6069,CA,San Benito,33,0,7,2,24,152,34,105,13,0,370
