FIPS,State,County,Total_law,"Total
officers","Total
civilians"
1001,AL,Autauga,43,32,11
1003,AL,Baldwin,319,135,184
1007,AL,Bibb,12,11,1
1009,AL,Blount,48,44,4
1033,AL,Colbert,57,31,26
1055,AL,Etowah,178,67,111
1061,AL,Geneva,25,12,13
1063,AL,Greene,33,13,20
1065,AL,Hale,31,11,20
1067,AL,Henry,19,15,4
1069,AL,Houston,171,72,99
1073,AL,Jefferson,690,530,160
1077,AL,Lauderdale,74,51,23
1079,AL,Lawrence,59,26,33
1081,AL,Lee,170,81,89
1083,AL,Limestone,120,48,72
1085,AL,Lowndes,42,17,25
1089,AL,Madison,339,131,208
1097,AL,Mobile,552,180,372
1101,AL,Montgomery,175,127,48
1103,AL,Morgan,182,55,127
1107,AL,Pickens,35,10,25
1113,AL,Russell,117,39,78
1117,AL,Shelby,221,131,90
1115,AL,St. Clair,108,51,57
1125,AL,Tuscaloosa,204,105,99
1129,AL,Washington,22,10,12
1005,AL,Barbour,58,26,32
1011,AL,Bullock,13,6,7
1013,AL,Butler,18,15,3
1025,AL,Clarke,47,14,33
1027,AL,Clay,27,11,16
1029,AL,Cleburne,28,10,18
1031,AL,Coffee,60,29,31
1035,AL,Conecuh,38,11,27
1037,AL,Coosa,23,10,13
1053,AL,Escambia,89,33,56
1071,AL,Jackson,81,35,46
1087,AL,Macon,28,16,12
1091,AL,Marengo,25,10,15
1093,AL,Marion,31,15,16
1095,AL,Marshall,74,38,36
1099,AL,Monroe,51,18,33
1105,AL,Perry,19,7,12
1109,AL,Pike,35,21,14
1111,AL,Randolph,35,16,19
1119,AL,Sumter,25,8,17
1121,AL,Talladega,95,42,53
1123,AL,Tallapoosa,55,23,32
1127,AL,Walker,76,32,44
1131,AL,Wilcox,22,10,12
1133,AL,Winston,29,10,19
4003,AZ,Cochise,180,86,94
4005,AZ,Coconino,239,61,178
4013,AZ,Maricopa,3443,670,"2,773"
4015,AZ,Mohave,246,83,163
4019,AZ,Pima,1417,478,939
4021,AZ,Pinal,479,207,272
4025,AZ,Yavapai,193,120,73
4027,AZ,Yuma,331,82,249
4001,AZ,Apache,72,25,47
4007,AZ,Gila,130,51,79
4009,AZ,Graham,82,23,59
4011,AZ,Greenlee,42,16,26
4012,AZ,La Paz,90,38,52
4017,AZ,Navajo,135,47,88
4023,AZ,Santa Cruz,83,35,48
5007,AR,Benton,241,163,78
5025,AR,Cleveland,12,8,4
5031,AR,Craighead,113,40,73
5033,AR,Crawford,78,35,43
5035,AR,Crittenden,144,39,105
5045,AR,Faulkner,163,50,113
5047,AR,Franklin,25,12,13
5051,AR,Garland,181,54,127
5053,AR,Grant,18,16,2
5069,AR,Jefferson,102,48,54
5079,AR,Lincoln,26,11,15
5081,AR,Little River,34,15,19
5085,AR,Lonoke,69,35,34
5087,AR,Madison,21,19,2
5091,AR,Miller,36,25,11
5105,AR,Perry,24,12,12
5111,AR,Poinsett,44,16,28
5119,AR,Pulaski,534,410,124
5125,AR,Saline,107,57,50
5131,AR,Sebastian,147,45,102
5143,AR,Washington,303,156,147
5001,AR,Arkansas,11,11,0
5003,AR,Ashley,22,19,3
5005,AR,Baxter,60,33,27
5009,AR,Boone,56,26,30
5011,AR,Bradley,7,5,2
5013,AR,Calhoun,12,6,6
5015,AR,Carroll,64,20,44
5017,AR,Chicot,8,7,1
5019,AR,Clark,33,17,16
5021,AR,Clay,20,10,10
5023,AR,Cleburne,49,26,23
5027,AR,Columbia,42,22,20
5029,AR,Conway,44,21,23
5037,AR,Cross,40,18,22
5039,AR,Dallas,28,9,19
5041,AR,Desha,8,7,1
5043,AR,Drew,15,14,1
5049,AR,Fulton,18,7,11
5055,AR,Greene,26,23,3
5057,AR,Hempstead,58,25,33
5059,AR,Hot Spring,34,19,15
5061,AR,Howard,24,11,13
5063,AR,Independence,41,37,4
5065,AR,Izard,37,22,15
5067,AR,Jackson,32,14,18
5071,AR,Johnson,35,12,23
5073,AR,Lafayette,27,9,18
5075,AR,Lawrence,37,16,21
5077,AR,Lee,10,5,5
5083,AR,Logan,46,14,32
5089,AR,Marion,22,20,2
5093,AR,Mississippi,94,42,52
5095,AR,Monroe,14,6,8
5097,AR,Montgomery,24,11,13
5099,AR,Nevada,30,6,24
5101,AR,Newton,21,12,9
5103,AR,Ouachita,48,17,31
5107,AR,Phillips,20,14,6
5109,AR,Pike,24,19,5
5113,AR,Polk,29,16,13
5115,AR,Pope,88,35,53
5117,AR,Prairie,31,9,22
5121,AR,Randolph,25,12,13
5127,AR,Scott,28,9,19
5129,AR,Searcy,18,7,11
5133,AR,Sevier,35,30,5
5135,AR,Sharp,26,14,12
5123,AR,St. Francis,42,19,23
5137,AR,Stone,25,12,13
5139,AR,Union,66,30,36
5141,AR,Van Buren,37,21,16
5145,AR,White,104,53,51
5147,AR,Woodruff,11,7,4
5149,AR,Yell,29,16,13
6001,CA,Alameda,1496,950,546
6007,CA,Butte,252,101,151
6013,CA,Contra Costa,928,612,316
6017,CA,El Dorado,344,154,190
6019,CA,Fresno,1182,414,768
6025,CA,Imperial,272,187,85
6029,CA,Kern,1155,779,376
6031,CA,Kings,289,85,204
6037,CA,Los Angeles,15930,"9,565","6,365"
6039,CA,Madera,121,86,35
6041,CA,Marin,298,194,104
6047,CA,Merced,255,122,133
6053,CA,Monterey,430,295,135
6055,CA,Napa,134,100,34
6059,CA,Orange,3723,"1,888","1,835"
6061,CA,Placer,534,248,286
6065,CA,Riverside,3750,"1,788","1,962"
6067,CA,Sacramento,1992,"1,348",644
6069,CA,San Benito,59,23,36
6071,CA,San Bernardino,3342,"1,927","1,415"
6073,CA,San Diego,4344,"2,601","1,743"
6075,CA,San Francisco,1044,857,187
6077,CA,San Joaquin,737,293,444
6079,CA,San Luis Obispo,418,303,115
6081,CA,San Mateo,746,334,412
6083,CA,Santa Barbara,674,477,197
6085,CA,Santa Clara,1716,"1,316",400
6087,CA,Santa Cruz,334,148,186
6089,CA,Shasta,198,138,60
6095,CA,Solano,512,122,390
6097,CA,Sonoma,581,223,358
6099,CA,Stanislaus,706,527,179
6101,CA,Sutter,128,105,23
6107,CA,Tulare,791,563,228
6111,CA,Ventura,1231,761,470
6113,CA,Yolo,262,84,178
6115,CA,Yuba,163,126,37
6003,CA,Alpine,16,13,3
6005,CA,Amador,94,49,45
6009,CA,Calaveras,113,58,55
6011,CA,Colusa,59,40,19
6015,CA,Del Norte,52,21,31
6021,CA,Glenn,73,33,40
6023,CA,Humboldt,245,187,58
6027,CA,Inyo,78,38,40
6033,CA,Lake,122,91,31
6035,CA,Lassen,80,58,22
6043,CA,Mariposa,78,62,16
6045,CA,Mendocino,202,131,71
6049,CA,Modoc,30,20,10
6051,CA,Mono,41,20,21
6057,CA,Nevada,152,59,93
6063,CA,Plumas,66,36,30
6091,CA,Sierra,12,6,6
6093,CA,Siskiyou,103,81,22
6103,CA,Tehama,107,73,34
6105,CA,Trinity,50,36,14
6109,CA,Tuolumne,131,60,71
8001,CO,Adams,583,400,183
8005,CO,Arapahoe,568,243,325
8013,CO,Boulder,396,108,288
8019,CO,Clear Creek,67,25,42
8035,CO,Douglas,522,351,171
8039,CO,Elbert,45,36,9
8041,CO,El Paso,842,525,317
8047,CO,Gilpin,58,35,23
8059,CO,Jefferson,761,532,229
8069,CO,Larimer,408,276,132
8077,CO,Mesa,232,131,101
8093,CO,Park,55,30,25
8119,CO,Teller,75,47,28
8123,CO,Weld,405,129,276
8003,CO,Alamosa,46,23,23
8007,CO,Archuleta,39,17,22
8009,CO,Baca,13,5,8
8011,CO,Bent,30,13,17
8015,CO,Chaffee,58,21,37
8017,CO,Cheyenne,10,6,4
8021,CO,Conejos,32,12,20
8023,CO,Costilla,14,8,6
8025,CO,Crowley,15,8,7
8027,CO,Custer,17,11,6
8029,CO,Delta,65,36,29
8033,CO,Dolores,9,5,4
8037,CO,Eagle,82,46,36
8045,CO,Garfield,128,96,32
8049,CO,Grand,51,24,27
8051,CO,Gunnison,29,14,15
8053,CO,Hinsdale,4,3,1
8055,CO,Huerfano,40,19,21
8057,CO,Jackson,12,5,7
8061,CO,Kiowa,8,5,3
8063,CO,Kit Carson,29,6,23
8065,CO,Lake,21,7,14
8067,CO,La Plata,116,91,25
8071,CO,Las Animas,32,12,20
8073,CO,Lincoln,26,10,16
8075,CO,Logan,45,20,25
8079,CO,Mineral,7,4,3
8081,CO,Moffat,38,18,20
8083,CO,Montezuma,67,27,40
8085,CO,Montrose,86,48,38
8087,CO,Morgan,48,43,5
8089,CO,Otero,23,22,1
8091,CO,Ouray,8,8,0
8095,CO,Phillips,4,4,0
8097,CO,Pitkin,55,22,33
8099,CO,Prowers,29,10,19
8103,CO,Rio Blanco,27,13,14
8105,CO,Rio Grande,43,17,26
8107,CO,Routt,52,23,29
8109,CO,Saguache,17,10,7
8111,CO,San Juan,2,2,0
8113,CO,San Miguel,32,12,20
8115,CO,Sedgwick,3,2,1
8117,CO,Summit,74,53,21
8121,CO,Washington,31,10,21
8125,CO,Yuma,21,7,14
10003,DE,New Castle,463,387,76
12001,FL,Alachua,378,268,110
12003,FL,Baker,63,44,19
12005,FL,Bay,273,208,65
12009,FL,Brevard,1282,558,724
12011,FL,Broward,1329,390,939
12015,FL,Charlotte,448,309,139
12017,FL,Citrus,328,205,123
12019,FL,Clay,579,277,302
12021,FL,Collier,904,570,334
12033,FL,Escambia,655,417,238
12035,FL,Flagler,289,212,77
12039,FL,Gadsden,67,44,23
12041,FL,Gilchrist,66,49,17
12053,FL,Hernando,557,252,305
12055,FL,Highlands,342,147,195
12057,FL,Hillsborough,3313,"1,245","2,068"
12061,FL,Indian River,479,190,289
12065,FL,Jefferson,59,26,33
12069,FL,Lake,703,463,240
12071,FL,Lee,1504,"1,030",474
12073,FL,Leon,715,271,444
12075,FL,Levy,151,115,36
12081,FL,Manatee,1147,753,394
12083,FL,Marion,778,545,233
12085,FL,Martin,387,260,127
12086,FL,Miami-Dade,4068,"2,953","1,115"
